iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,XGBoost,TFIDF_profile_text,500,False,0.78,0.5112,0.5029,0.5042,0.6785
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,LogReg,TFIDF_profile_text,500,True,0.7225,0.5192,0.5267,0.5177,0.6919
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,LogReg,TFIDF_profile_text,500,True,0.74,0.5388,0.5399,0.5329,0.7139
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,Decision Tree,TFIDF_profile_text,500,True,0.5475,0.4533,0.3839,0.4069,0.5914
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,Decision Tree,TFIDF_profile_text,500,True,0.675,0.4701,0.4686,0.4643,0.616
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,Random Forest,TFIDF_profile_text,500,True,0.775,0.5131,0.5116,0.5117,0.6888
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,Random Forest,TFIDF_profile_text,500,True,0.785,0.5106,0.5139,0.5113,0.6733
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,SVM,TFIDF_profile_text,500,True,0.77,0.5135,0.502,0.5066,
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,SVM,TFIDF_profile_text,500,True,0.775,0.5124,0.5102,0.511,
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,AdaBoost,TFIDF_profile_text,500,True,0.6675,0.4652,0.4059,0.4229,0.5233
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,AdaBoost,TFIDF_profile_text,500,True,0.6475,0.4458,0.4084,0.424,0.5514
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,XGBoost,TFIDF_profile_text,500,True,0.7475,0.5042,0.4877,0.4945,0.6421
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,XGBoost,TFIDF_profile_text,500,True,0.7525,0.5051,0.4959,0.5,0.6397
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,LogReg,TFIDF_profile_text+numeric_metadata,504,False,0.78,0.5222,0.4916,0.4963,0.7381
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,LogReg,TFIDF_profile_text+numeric_metadata,504,False,0.7975,0.5265,0.5118,0.5138,0.7371
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.6975,0.4453,0.4495,0.447,0.6154
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.675,0.4304,0.4267,0.4272,0.5943
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.8075,0.5351,0.5183,0.5209,0.7719
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.8025,0.5236,0.5228,0.5216,0.7875
